Standard,Requirement,Status,Evidence,Owner,Issue,Severity,Fix Required,Retest Date
Technical Stability,Backend health endpoint returns success,Not Tested,,,,,,
Technical Stability,CampusOne login works,Not Tested,,,,,,
Technical Stability,Logout works,Not Tested,,,,,,
Technical Stability,Session persists or expires predictably,Not Tested,,,,,,
Technical Stability,User submissions save and persist across sessions,Not Tested,,,,,,
Technical Stability,Frontend build passes,Not Tested,,,,,,
Technical Stability,Backend targeted tests pass,Not Tested,,,,,,
Technical Stability,Feedback migration 0045 is applied,Not Tested,,,,,,
Technical Stability,Feedback manager migration 0046 is applied,Not Tested,,,,,,
Technical Stability,CORS allows final CampusOne frontend domain,Not Tested,,,,,,
Technical Stability,No known critical bugs block onboarding dues or admin verification,Not Tested,,,,,,
Error Handling,Missing University ID shows friendly error,Not Tested,,,,,,
Error Handling,Missing receipt or proof shows friendly error where required,Not Tested,,,,,,
Error Handling,Unauthorized access shows readable error or redirect,Not Tested,,,,,,
Error Handling,Feedback failure shows friendly red toast,Not Tested,,,,,,
Error Handling,No raw database errors are shown to users,Not Tested,,,,,,
Support,User support channel is visible,Not Tested,,,,,,
Support,Support Lead is reachable,Not Tested,,,,,,
Support,Critical issue response target is documented,Not Tested,,,,,,
Support,High issue response target is documented,Not Tested,,,,,,
Support,Medium issue response target is documented,Not Tested,,,,,,
Support,Low issue response target is documented,Not Tested,,,,,,
Support,Escalation path is documented and shared,Not Tested,,,,,,
Support,Outage plan exists for CampusOne login failure,Not Tested,,,,,,
Support,Outage plan exists for backend API failure,Not Tested,,,,,,
Support,Outage plan exists for database migration failure,Not Tested,,,,,,
Support,Outage plan exists for dues workflow failure,Not Tested,,,,,,
Feedback Collection,All users can submit app feedback,Not Tested,,,,,,
Feedback Collection,Students cannot view private feedback list,Not Tested,,,,,,
Feedback Collection,Feedback manager can view app feedback inbox,Not Tested,,,,,,
Feedback Collection,Feedback manager cannot view event feedback,Not Tested,,,,,,
Feedback Collection,Feedback manager cannot view club operational feedback,Not Tested,,,,,,
Feedback Collection,Admin can view feedback,Not Tested,,,,,,
Feedback Collection,Admin can export feedback CSV,Not Tested,,,,,,
Feedback Collection,Week 1 feedback touchpoint is scheduled,Not Tested,,,,,,
Feedback Collection,Week 2 feedback touchpoint is scheduled,Not Tested,,,,,,
Student Validation,Student logs in through CampusOne,Not Tested,,,,,,
Student Validation,Student completes profile setup,Not Tested,,,,,,
Student Validation,Student joins club,Not Tested,,,,,,
Student Validation,Student submits dues payment proof,Not Tested,,,,,,
Student Validation,Student views membership status,Not Tested,,,,,,
Student Validation,Student views events,Not Tested,,,,,,
Student Validation,Student submits app feedback,Not Tested,,,,,,
President Validation,President sees own club only,Not Tested,,,,,,
President Validation,President cannot see another club events or past events,Not Tested,,,,,,
President Validation,President reviews membership requests,Not Tested,,,,,,
President Validation,President verifies dues records,Not Tested,,,,,,
President Validation,President creates proposal,Not Tested,,,,,,
President Validation,President displays QR check-in,Not Tested,,,,,,
President Validation,President prints QR without popup blocker issue,Not Tested,,,,,,
President Validation,President downloads event report or media,Not Tested,,,,,,
Executive Validation,Executive views dashboard,Not Tested,,,,,,
Executive Validation,Executive views assigned tasks,Not Tested,,,,,,
Executive Validation,Executive views announcements,Not Tested,,,,,,
Executive Validation,Executive views allowed events,Not Tested,,,,,,
Executive Validation,Executive submits app feedback,Not Tested,,,,,,
Advisor Validation,Advisor views pending approvals,Not Tested,,,,,,
Advisor Validation,Advisor approves proposal,Not Tested,,,,,,
Advisor Validation,Advisor rejects proposal,Not Tested,,,,,,
Advisor Validation,Advisor views assigned-club events,Not Tested,,,,,,
Advisor Validation,Advisor views reports archive,Not Tested,,,,,,
Advisor Validation,Advisor views allowed feedback,Not Tested,,,,,,
Admin Validation,Admin opens operations dashboard,Not Tested,,,,,,
Admin Validation,Admin manages local roles except admin and feedback manager,Not Tested,,,,,,
Admin Validation,Admin verifies dues across clubs,Not Tested,,,,,,
Admin Validation,Admin filters dues by club,Not Tested,,,,,,
Admin Validation,Admin reviews proposals,Not Tested,,,,,,
Admin Validation,Admin downloads performance matrix,Not Tested,,,,,,
Admin Validation,Admin downloads club performance PDF,Not Tested,,,,,,
Admin Validation,Admin exports feedback CSV,Not Tested,,,,,,
Feedback Manager Validation,Feedback manager logs in normally,Not Tested,,,,,,
Feedback Manager Validation,Feedback manager redirects to feedback page,Not Tested,,,,,,
Feedback Manager Validation,Feedback manager sidebar only shows app feedback,Not Tested,,,,,,
Feedback Manager Validation,Feedback manager sees app feedback inbox,Not Tested,,,,,,
Feedback Manager Validation,Feedback manager filters by category,Not Tested,,,,,,
Feedback Manager Validation,Feedback manager filters by status,Not Tested,,,,,,
Feedback Manager Validation,Feedback manager exports app feedback CSV,Not Tested,,,,,,
Feedback Manager Validation,Feedback manager is blocked from user management,Not Tested,,,,,,
Feedback Manager Validation,Feedback manager is blocked from dues,Not Tested,,,,,,
Feedback Manager Validation,Feedback manager is blocked from proposals,Not Tested,,,,,,
Feedback Manager Validation,Feedback manager is blocked from events,Not Tested,,,,,,
Feedback Manager Validation,Feedback manager is blocked from archive,Not Tested,,,,,,
Edge Cases,Empty required fields show validation errors,Not Tested,,,,,,
Edge Cases,Missing University ID is blocked,Not Tested,,,,,,
Edge Cases,Invalid University ID format is blocked,Not Tested,,,,,,
Edge Cases,Missing receipt or payment proof is handled,Not Tested,,,,,,
Edge Cases,Duplicate join request does not break workflow,Not Tested,,,,,,
Edge Cases,Duplicate event feedback is blocked,Not Tested,,,,,,
Edge Cases,Existing president replacement conflict shows confirmation,Not Tested,,,,,,
Edge Cases,Unauthorized page access is blocked,Not Tested,,,,,,
Edge Cases,Feedback submission without club works,Not Tested,,,,,,
Edge Cases,Network interruption during upload is handled or logged,Not Tested,,,,,,
KPI Tracking,KPI tracker exists,Not Tested,,,,,,
KPI Tracking,Invited users are tracked,Not Tested,,,,,,
KPI Tracking,Onboarded users are tracked,Not Tested,,,,,,
KPI Tracking,Weekly active users are tracked,Not Tested,,,,,,
KPI Tracking,Club join started is tracked,Not Tested,,,,,,
KPI Tracking,Club join completed is tracked,Not Tested,,,,,,
KPI Tracking,Dues submitted is tracked,Not Tested,,,,,,
KPI Tracking,Dues verified is tracked,Not Tested,,,,,,
KPI Tracking,Feedback submitted is tracked,Not Tested,,,,,,
KPI Tracking,Critical issues raised and resolved are tracked,Not Tested,,,,,,
KPI Tracking,Onboarding completion target is at least 80 percent,Not Tested,,,,,,
KPI Tracking,Weekly active usage target is at least 60 percent,Not Tested,,,,,,
KPI Tracking,Core workflow completion target is at least 70 percent,Not Tested,,,,,,
KPI Tracking,Critical issue response target is under 24 hours,Not Tested,,,,,,
KPI Tracking,Feedback collection target is at least 50 percent,Not Tested,,,,,,
KPI Tracking,Platform reliability target is at least 95 percent uptime,Not Tested,,,,,,
KPI Tracking,Dues verification target is under 24 hours,Not Tested,,,,,,
KPI Tracking,Proposal review completion target is at least 70 percent,Not Tested,,,,,,
KPI Tracking,Event engagement capture target is at least 60 percent,Not Tested,,,,,,
Monitoring,Monitoring Lead checks KPIs every 48 hours,Not Tested,,,,,,
Monitoring,Missed KPI thresholds trigger team review,Not Tested,,,,,,
Monitoring,Weekly KPI summaries are submitted to Migaki,Not Tested,,,,,,
Monitoring,User issues are tracked by severity owner and status,Not Tested,,,,,,
Operational Readiness,All ownership roles have real names,Not Tested,,,,,,
Operational Readiness,Internal team communication channel is active,Not Tested,,,,,,
Operational Readiness,Issue reporting method is known to users,Not Tested,,,,,,
Operational Readiness,Escalation protocol is documented and shared,Not Tested,,,,,,
Operational Readiness,Rollback or contingency plan exists,Not Tested,,,,,,
Operational Readiness,Student quick guide exists,Not Tested,,,,,,
Operational Readiness,Admin or president guide exists,Not Tested,,,,,,
Operational Readiness,FAQ exists,Not Tested,,,,,,
Operational Readiness,Support contact instructions exist,Not Tested,,,,,,
Operational Readiness,Patch schedule is agreed,Not Tested,,,,,,
Operational Readiness,Migaki has been briefed on structure,Not Tested,,,,,,
Week 1 Day 1,Migaki checklist reviewed,Not Tested,,,,,,
Week 1 Day 1,Owners confirmed,Not Tested,,,,,,
Week 1 Day 1,Production domain API auth and CORS tested,Not Tested,,,,,,
Week 1 Day 1,Pilot user list finalized,Not Tested,,,,,,
Week 1 Day 1,Onboarding messages prepared,Not Tested,,,,,,
Week 1 Day 2,Invitations sent,Not Tested,,,,,,
Week 1 Day 2,First logins supported,Not Tested,,,,,,
Week 1 Day 2,Onboarding completion tracked live,Not Tested,,,,,,
Week 1 Day 2,First issues logged and triaged,Not Tested,,,,,,
Week 1 Day 3-5,Onboarding gaps closed,Not Tested,,,,,,
Week 1 Day 3-5,Critical bugs addressed,Not Tested,,,,,,
Week 1 Day 3-5,First feedback collected,Not Tested,,,,,,
Week 1 Day 3-5,Core workflows validated with non-builders,Not Tested,,,,,,
Week 2 Day 6-8,Primary workflows used by real users,Not Tested,,,,,,
Week 2 Day 6-8,KPIs monitored every 48 hours,Not Tested,,,,,,
Week 2 Day 6-8,Issues resolved within SLA,Not Tested,,,,,,
Week 2 Day 6-8,Mid-deployment feedback collected,Not Tested,,,,,,
Week 2 Day 9-10,Final KPI measurement completed,Not Tested,,,,,,
Week 2 Day 9-10,Open issues documented,Not Tested,,,,,,
Week 2 Day 9-10,Final feedback round collected,Not Tested,,,,,,
Week 2 Day 9-10,Deployment summary prepared,Not Tested,,,,,,
Evidence Package,CampusOne login screenshot captured,Not Tested,,,,,,
Evidence Package,Student dashboard screenshot captured,Not Tested,,,,,,
Evidence Package,Guided onboarding screenshot captured,Not Tested,,,,,,
Evidence Package,Discover Clubs screenshot captured,Not Tested,,,,,,
Evidence Package,Join form screenshot captured,Not Tested,,,,,,
Evidence Package,Dues submission screenshot captured,Not Tested,,,,,,
Evidence Package,Admin dues verification screenshot captured,Not Tested,,,,,,
Evidence Package,Proposal approval flow screenshot captured,Not Tested,,,,,,
Evidence Package,Event QR check-in screenshot captured,Not Tested,,,,,,
Evidence Package,Reports or downloads screenshot captured,Not Tested,,,,,,
Evidence Package,App Feedback form screenshot captured,Not Tested,,,,,,
Evidence Package,Feedback Manager inbox screenshot captured,Not Tested,,,,,,
Evidence Package,Admin feedback export captured,Not Tested,,,,,,
Final Validation,Real users can complete primary workflow without team assistance,Not Tested,,,,,,
Final Validation,Active users engage independently,Not Tested,,,,,,
Final Validation,Issues can be tracked escalated and resolved within SLA,Not Tested,,,,,,
Final Validation,Feedback has been collected and reviewed,Not Tested,,,,,,
Final Validation,Platform is stable enough to continue after Buildathon,Not Tested,,,,,,
Final Validation,Team can run NileHive independently,Not Tested,,,,,,
Final Classification,Deployment classification selected as Successful Conditional or Incomplete,Not Tested,,,,,,
